"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p","CTNAME"
"Average47",114.244897959184,612.179175697263,198.388908516209,996.45586103573,197.319970207398,-497.934277738079,-882.210963076547,-84.1440105570257,197.319970207398,-0.813379967018544,-1.44109926978768,-0.137449971997474,0.322323884968243,0.05,0.00970873786407767,40520
"Cumulative47",5598,29996.7796091659,9721.05651729423,48826.3371907508,9668.67854016251,-24398.7796091659,-43228.3371907508,-4123.05651729426,9668.67854016251,-0.813379967018544,-1.44109926978768,-0.137449971997474,0.322323884968243,0.05,0.00970873786407767,40520
"Average48",538.224489795918,4132.47206404862,2292.65402881252,5991.50256119481,932.084894828009,-3594.2475742527,-5453.27807139889,-1754.4295390166,932.084894828009,-0.869757258741487,-1.31961643947721,-0.424547223024121,0.225551408547173,0.05,0.00163132137030995,40530
"Cumulative48",26373,202491.131138383,112340.047411813,293583.625498546,45672.1598465724,-176118.131138383,-267210.625498546,-85967.0474118135,45672.1598465724,-0.869757258741487,-1.31961643947721,-0.424547223024121,0.225551408547173,0.05,0.00163132137030995,40530
"Average49",1474.51020408163,5874.18725943593,3010.90754315763,9016.18000884,1681.04797091954,-4399.67705535429,-7541.66980475836,-1536.397339076,1681.04797091954,-0.74898481458638,-1.28386608592429,-0.261550623298232,0.286175414006288,0.05,0.0277777777777778,40540
"Cumulative49",72251,287835.17571236,147534.469614724,441792.82043316,82371.3505750575,-215584.17571236,-369541.82043316,-75283.469614724,82371.3505750575,-0.74898481458638,-1.28386608592429,-0.261550623298232,0.286175414006288,0.05,0.0277777777777778,40540
"Average50",800.122448979592,3193.14774883535,2278.35587820659,4042.72063380492,466.287360648572,-2393.02529985576,-3242.59818482533,-1478.233429227,466.287360648572,-0.749425171675372,-1.01548642276513,-0.462939251641631,0.146027493033682,0.05,0.00258397932816537,40550
"Cumulative50",39206,156464.239692932,111639.438032123,198093.311056441,22848.08067178,-117258.239692932,-158887.311056441,-72433.4380321229,22848.08067178,-0.749425171675371,-1.01548642276513,-0.462939251641632,0.146027493033682,0.05,0.00258397932816537,40550
"Average51",871.938775510204,5836.34140539946,-2233.30672087693,13942.8215853787,4323.30019102443,-4964.40262988925,-13070.8828098685,3105.24549638714,4323.30019102443,-0.850601821424714,-2.2395678905583,0.532053435653085,0.740755190747538,0.05,0.153846153846154,40560
"Cumulative51",42725,285980.728864573,-109432.02932297,683198.257683557,211841.709360197,-243255.728864573,-640473.257683557,152157.02932297,211841.709360197,-0.850601821424714,-2.2395678905583,0.532053435653085,0.740755190747538,0.05,0.153846153846154,40560
"Average52",785.877551020408,4250.06663502337,2740.72347148741,5704.24593666327,739.031403427429,-3464.18908400296,-4918.36838564287,-1954.845920467,739.031403427429,-0.815090534217921,-1.15724500531645,-0.459956534412372,0.173887015638136,0.05,0.000862068965517241,40570
"Cumulative52",38508,208253.265116145,134295.450102883,279508.0508965,36212.538767944,-169745.265116145,-241000.0508965,-95787.4501028831,36212.538767944,-0.815090534217921,-1.15724500531645,-0.459956534412372,0.173887015638136,0.05,0.000862068965517241,40570
"Average53",507.469387755102,1653.39066924593,1204.41245966382,2091.63059742286,219.125272195679,-1145.92128149083,-1584.16120966776,-696.94307190872,219.125272195679,-0.693073514206691,-0.958128795047726,-0.421523530326064,0.132530850857902,0.05,0.00088261253309797,40580
"Cumulative53",24866,81016.1427930507,59016.2105235273,102489.89927372,10737.1383375883,-56150.1427930507,-77623.8992737202,-34150.2105235273,10737.1383375883,-0.693073514206691,-0.958128795047726,-0.421523530326064,0.132530850857902,0.05,0.00088261253309797,40580
"Average54",1658.18367346939,4875.33627667174,3579.48644598037,6055.96423789624,655.388903154196,-3217.15260320236,-4397.78056442685,-1921.30277251098,655.388903154196,-0.659883220485996,-0.902046610706635,-0.394086205233539,0.134429476442518,0.05,0.00980392156862745,40590
"Cumulative54",81251,238891.477556916,175394.835853038,296742.247656916,32114.0562545556,-157640.477556916,-215491.247656916,-94143.8358530379,32114.0562545556,-0.659883220485996,-0.902046610706635,-0.394086205233539,0.134429476442518,0.05,0.00980392156862745,40590
"Average55",148.204081632653,337.023607846959,236.045443172003,435.337299947558,49.8429127236384,-188.819526214306,-287.133218314905,-87.8413615393495,49.8429127236384,-0.560256082416779,-0.851967671194388,-0.260638600662176,0.147891457936893,0.05,0.000635324015247776,40600
"Cumulative55",7262,16514.156784501,11566.2267154281,21331.5276974303,2442.30272345828,-9252.156784501,-14069.5276974303,-4304.22671542812,2442.30272345828,-0.560256082416779,-0.851967671194388,-0.260638600662176,0.147891457936893,0.05,0.000635324015247776,40600
"Average56",151.877551020408,956.696608649363,621.805088620475,1268.73091607485,163.066066600084,-804.819057628955,-1116.85336505444,-469.927537600066,163.066066600084,-0.841247946687274,-1.16740600411575,-0.491198080302068,0.170446999734112,0.05,0.000874125874125874,40610
"Cumulative56",7442,46878.1338238188,30468.4493424033,62167.8148876678,7990.23726340411,-39436.1338238188,-54725.8148876678,-23026.4493424032,7990.23726340411,-0.841247946687274,-1.16740600411575,-0.491198080302068,0.170446999734112,0.05,0.000874125874125874,40610
"Average57",2410.28571428571,5474.8836618367,488.574864933203,10128.1649150915,2432.82262930536,-3064.59794755098,-7717.87920080582,1921.71084935251,2432.82262930536,-0.559755811600731,-1.40968825595404,0.351004873902256,0.44436060737941,0.05,0.103231597845601,40630
"Cumulative57",118104,268269.299429998,23940.168381727,496280.080839485,119208.308835963,-150165.299429998,-378176.080839485,94163.831618273,119208.308835963,-0.559755811600731,-1.40968825595404,0.351004873902256,0.44436060737941,0.05,0.103231597845601,40630
"Average58",1756.79591836735,4516.67940011125,3601.60535069091,5463.66537752862,510.560073549306,-2759.88348174391,-3706.86945916128,-1844.80943232356,510.560073549306,-0.611042590642127,-0.820706791602248,-0.408443741275531,0.113038811994655,0.05,0.0151515151515152,40650
"Cumulative58",86083,221317.290605451,176478.662183855,267719.603498903,25017.443603916,-135234.290605451,-181636.603498903,-90395.6621838546,25017.443603916,-0.611042590642127,-0.820706791602249,-0.408443741275531,0.113038811994655,0.05,0.0151515151515152,40650
"Average59",304.632653061225,3115.96206652606,997.068135711452,5129.03234975775,1013.52869694412,-2811.32941346484,-4824.39969669652,-692.435482650228,1013.52869694412,-0.902234800502288,-1.54828576012646,-0.222222051445643,0.325269908716856,0.05,0.00341296928327645,40660
"Cumulative59",14927,152682.141259777,48856.3386498612,251322.58513813,49662.9061502618,-137755.141259777,-236395.58513813,-33929.3386498612,49662.9061502618,-0.902234800502288,-1.54828576012646,-0.222222051445643,0.325269908716856,0.05,0.00341296928327645,40660
"Average60",509.040816326531,3935.00274200492,1926.2285166361,5802.65126561389,970.797013630724,-3425.96192567839,-5293.61044928736,-1417.18770030957,970.797013630724,-0.870637748001372,-1.3452622009077,-0.360149101087411,0.246708090763895,0.05,0.00158227848101266,40670
"Cumulative60",24943,192815.134358241,94385.1973151688,284329.912015081,47569.0536679055,-167872.134358241,-259386.912015081,-69442.1973151688,47569.0536679055,-0.870637748001372,-1.3452622009077,-0.360149101087411,0.246708090763895,0.05,0.00158227848101266,40670
"Average61",671.387755102041,4944.04505753184,550.463937794775,9020.43612501251,2090.41633531993,-4272.6573024298,-8349.04836991046,120.923817307266,2090.41633531993,-0.864202743444007,-1.68870798561825,0.0244584780074057,0.422814984692616,0.05,0.0313075506445672,40680
"Cumulative61",32898,242258.20781906,26972.732951944,442001.370125613,102430.400430677,-209360.20781906,-409103.370125613,5925.26704805602,102430.400430677,-0.864202743444007,-1.68870798561825,0.0244584780074057,0.422814984692616,0.05,0.0313075506445672,40680
"Average62",280.428571428571,658.280197122098,481.586157246145,826.089438582212,86.2047772919414,-377.851625693526,-545.660867153641,-201.157585817574,86.2047772919414,-0.573998165743762,-0.828918854826847,-0.305580490947479,0.130954535270567,0.05,0.000635727908455181,40690
"Cumulative62",13741,32255.7296589828,23597.7217050611,40478.3824905284,4224.03408730513,-18514.7296589828,-26737.3824905284,-9856.72170506112,4224.03408730513,-0.573998165743762,-0.828918854826847,-0.305580490947479,0.130954535270567,0.05,0.000635727908455181,40690
"Average63",362.755102040816,860.607807172584,605.127884221074,1110.64396264487,129.871633298243,-497.852705131767,-747.888860604051,-242.372782180257,129.871633298243,-0.578489645321018,-0.869024025079605,-0.281629773934473,0.150906873277061,0.05,0.00154320987654321,40700
"Cumulative63",17775,42169.7825514566,29651.2663268326,54421.5541695985,6363.71003161388,-24394.7825514566,-36646.5541695985,-11876.2663268326,6363.71003161388,-0.578489645321019,-0.869024025079605,-0.281629773934473,0.150906873277061,0.05,0.00154320987654321,40700
"Average64",680.040816326531,4631.09276631984,2433.78605709072,6713.36796748,1081.26794228244,-3951.05194999331,-6033.32715115346,-1753.74524076419,1081.26794228244,-0.853157591384866,-1.30278693509047,-0.378689291978452,0.233480087064134,0.05,0.000860585197934596,40710
"Cumulative64",33322,226923.545549672,119255.516797445,328955.03040652,52982.1291718394,-193601.545549672,-295633.03040652,-85933.5167974454,52982.1291718394,-0.853157591384866,-1.30278693509047,-0.378689291978452,0.233480087064134,0.05,0.000860585197934596,40710
"Average65",289.734693877551,754.522626784068,589.20000405531,913.585764170074,82.4628061604254,-464.787932906517,-623.851070292523,-299.465310177759,82.4628061604254,-0.616002643800809,-0.826815589283923,-0.396893743868414,0.109291362820886,0.05,0.000825082508250825,40720
"Cumulative65",14197,36971.6087124194,28870.8001987102,44765.7024443336,4040.67750186084,-22774.6087124194,-30568.7024443336,-14673.8001987102,4040.67750186084,-0.616002643800809,-0.826815589283923,-0.396893743868414,0.109291362820886,0.05,0.000825082508250825,40720
"Average66",634.224489795918,5772.66269056359,3550.044311803,7835.52012226977,1057.59209781233,-5138.43820076767,-7201.29563247385,-2915.81982200708,1057.59209781233,-0.890133111218733,-1.2474824909215,-0.505108297211526,0.183206979950715,0.05,0.000862068965517241,40730
"Cumulative66",31077,282860.471837616,173952.171278347,383940.485991219,51822.012792804,-251783.471837616,-352863.485991219,-142875.171278347,51822.012792804,-0.890133111218733,-1.2474824909215,-0.505108297211526,0.183206979950715,0.05,0.000862068965517241,40730
"Average67",297.65306122449,873.69263520908,631.954234081329,1103.97407572215,116.243956474915,-576.039573984591,-806.321014497658,-334.301172856839,116.243956474915,-0.659316046365368,-0.922888647567345,-0.382630182955404,0.133049028674823,0.05,0.000832639467110741,40740
"Cumulative67",14585,42810.9391252449,30965.7574699851,54094.7297103852,5695.95386727081,-28225.9391252449,-39509.7297103853,-16380.7574699851,5695.95386727081,-0.659316046365368,-0.922888647567345,-0.382630182955404,0.133049028674823,0.05,0.000832639467110741,40740
"Average68",448.040816326531,2063.69199625619,1335.30786306254,2763.29499825313,355.410526613361,-1615.65117992966,-2315.2541819266,-887.267046736009,355.410526613361,-0.782893563022323,-1.12189909449994,-0.429941603856403,0.172220722500316,0.05,0.000858369098712446,40750
"Cumulative68",21954,101120.907816553,65430.0852900644,135401.454914403,17415.1158040547,-79166.9078165535,-113447.454914403,-43476.0852900644,17415.1158040547,-0.782893563022323,-1.12189909449994,-0.429941603856403,0.172220722500316,0.05,0.000858369098712446,40750
"Average69",1095.28571428571,2911.19364101419,1494.99073696239,4342.067227521,740.694694827903,-1815.90792672848,-3246.78151323529,-399.705022676676,740.694694827903,-0.623767481882743,-1.11527500867451,-0.137299359632233,0.254429895831273,0.05,0.00754716981132075,40760
"Cumulative69",53669,142648.488409695,73254.5461111571,212761.294148529,36294.0400465673,-88979.4884096953,-159092.294148529,-19585.5461111571,36294.0400465673,-0.623767481882743,-1.11527500867451,-0.137299359632233,0.254429895831273,0.05,0.00754716981132075,40760
"Average70",934.244897959184,2340.80567602023,1148.8700607224,3512.1248225373,618.143279662196,-1406.56077806105,-2577.87992457811,-214.62516276322,618.143279662196,-0.600887460445859,-1.10127891049929,-0.091688586097467,0.264072872855104,0.05,0.0162866449511401,40770
"Cumulative70",45778,114699.478124991,56294.6329753978,172094.116304328,30289.0207034476,-68921.4781249914,-126316.116304328,-10516.6329753978,30289.0207034476,-0.600887460445859,-1.10127891049929,-0.091688586097467,0.264072872855104,0.05,0.0162866449511401,40770
"Average71",318.428571428571,922.20121992208,690.044662620898,1152.55479579792,115.033413761491,-603.772648493509,-834.12622436935,-371.616091192326,115.033413761491,-0.65470814335349,-0.904494817779387,-0.402966384303553,0.124737867697909,0.05,0.000858369098712446,40780
"Cumulative71",15603,45187.8597761819,33812.188468424,56475.1849940981,5636.63727431306,-29584.8597761819,-40872.1849940981,-18209.188468424,5636.63727431306,-0.65470814335349,-0.904494817779387,-0.402966384303553,0.124737867697909,0.05,0.000858369098712446,40780
"Average72",547.530612244898,5377.28864664093,3123.45829023406,7556.57034715491,1100.57649478544,-4829.75803439603,-7009.03973491001,-2575.92767798916,1100.57649478544,-0.898177195195402,-1.30345238939115,-0.479038386678068,0.204671269687735,0.05,0.000862068965517241,40790
"Cumulative72",26829,263487.143685405,153049.456221469,370271.94701059,53928.2482444867,-236658.143685405,-343442.94701059,-126220.456221469,53928.2482444867,-0.898177195195402,-1.30345238939115,-0.479038386678068,0.204671269687735,0.05,0.000862068965517241,40790
"Average73",554.979591836735,2970.31500761084,1884.41177011705,4166.70505323467,546.710056023638,-2415.33541577411,-3611.72546139794,-1329.43217828031,546.710056023638,-0.813158001621138,-1.21594021245006,-0.44757279105883,0.184057938172484,0.05,0.00245098039215686,40800
"Cumulative73",27194,145545.435372931,92336.1767357353,204168.547608499,26788.7927451583,-118351.435372931,-176974.547608499,-65142.1767357353,26788.7927451583,-0.813158001621138,-1.21594021245006,-0.44757279105883,0.184057938172484,0.05,0.00245098039215686,40800
"Average74",499.448979591837,2222.63838332028,1389.7168643252,3139.77132489308,464.173076889943,-1723.18940372845,-2640.32234530124,-890.26788473336,464.173076889943,-0.775290041178117,-1.18792259015927,-0.400545536968293,0.208838774842239,0.05,0.0185185185185185,40810
"Cumulative74",24473,108909.280782694,68096.1263519346,153848.794919761,22744.4807676072,-84436.2807826938,-129375.794919761,-43623.1263519346,22744.4807676072,-0.775290041178117,-1.18792259015927,-0.400545536968293,0.208838774842239,0.05,0.0185185185185185,40810
"Average75",1212.5306122449,4219.37532782465,2284.193411447,6101.66321602944,978.057004097402,-3006.84471557975,-4889.13260378455,-1071.66279920211,978.057004097402,-0.712627932327122,-1.1587337517815,-0.253986127314873,0.23180137534758,0.05,0.00237529691211401,40820
"Cumulative75",59414,206749.391063408,111925.477160903,298981.497585443,47924.7932007727,-147335.391063408,-239567.497585443,-52511.4771609032,47924.7932007727,-0.712627932327122,-1.1587337517815,-0.253986127314873,0.231801375347581,0.05,0.00237529691211401,40820
"Average76",416.489795918367,1497.47806573925,1126.0236616814,1851.98668185671,183.541995551394,-1080.98826982088,-1435.49688593834,-709.533865763036,183.541995551394,-0.721872523246101,-0.958609624261635,-0.473819204432063,0.122567401653917,0.05,0.000827814569536424,40830
"Cumulative76",20408,73376.4252212232,55175.1594223888,90747.3474109787,8993.5577820183,-52968.4252212232,-70339.3474109787,-34767.1594223888,8993.5577820183,-0.7218725232461,-0.958609624261635,-0.473819204432063,0.122567401653917,0.05,0.000827814569536424,40830
"Average77",141.632653061224,572.846958186094,384.057703261713,755.943060231897,91.0941017847272,-431.21430512487,-614.310407170673,-242.425050200488,91.0941017847272,-0.752756559082201,-1.07238137235794,-0.423193397008027,0.159019962457642,0.05,0.000791139240506329,40840
"Cumulative77",6940,28069.5009511186,18818.8274598239,37041.209951363,4463.61098745163,-21129.5009511186,-30101.209951363,-11878.8274598239,4463.61098745163,-0.752756559082201,-1.07238137235794,-0.423193397008027,0.159019962457642,0.05,0.000791139240506329,40840
"Average78",479.959183673469,3030.91793970428,-27.7427151316296,5895.51382617836,1611.05405823577,-2550.95875603082,-5415.55464250489,507.701898805097,1611.05405823577,-0.841645602678277,-1.7867704603818,0.167507635939042,0.531539979070815,0.05,0.0642857142857143,40850
"Cumulative78",23518,148514.97904551,-1359.39304144985,288880.17748274,78941.6488535529,-124996.97904551,-265362.17748274,24877.3930414498,78941.6488535529,-0.841645602678277,-1.7867704603818,0.167507635939042,0.531539979070815,0.05,0.0642857142857143,40850
"Average79",175.285714285714,1215.3436220336,794.729141265951,1627.25605648188,205.112601072898,-1040.05790774789,-1451.97034219617,-619.443426980236,205.112601072898,-0.855772712253664,-1.19469943798004,-0.509685833495994,0.168769224895992,0.05,0.000848176420695505,40870
"Cumulative79",8589,59551.8374796465,38941.7279220316,79735.5467676123,10050.517452572,-50962.8374796465,-71146.5467676123,-30352.7279220316,10050.517452572,-0.855772712253664,-1.19469943798004,-0.509685833495994,0.168769224895992,0.05,0.000848176420695505,40870
"Average80",672.163265306122,2259.35219891595,1722.17787917932,2929.53868505173,344.893477442563,-1587.18893360983,-2257.37541974561,-1050.0146138732,344.893477442563,-0.702497350511076,-0.999125068162774,-0.464741448622753,0.15265148904542,0.05,0.0212765957446809,40880
"Cumulative80",32936,110708.257746882,84386.7160797869,143547.395567535,16899.7803946856,-77772.2577468816,-110611.395567535,-51450.7160797869,16899.7803946856,-0.702497350511076,-0.999125068162774,-0.464741448622753,0.15265148904542,0.05,0.0212765957446809,40880
"Average81",3914.04081632653,8040.10358487758,1581.03642068159,14519.3631526109,3333.98563449111,-4126.06276855105,-10605.3223362844,2333.00439564493,3333.98563449111,-0.513185274915071,-1.31905294805301,0.290170937602473,0.414669487686939,0.05,0.110696517412935,40890
"Cumulative81",191788,393965.075659002,77470.784613398,711448.794477933,163365.296090064,-202177.075659002,-519660.794477934,114317.215386602,163365.296090064,-0.513185274915071,-1.31905294805301,0.290170937602473,0.414669487686939,0.05,0.110696517412935,40890
"Average82",1623.61224489796,4150.85393906614,3085.03753627778,5186.34090748397,522.765270972063,-2527.24169416818,-3562.72866258601,-1461.42529137982,522.765270972063,-0.608848620372501,-0.858312220783069,-0.35207822603091,0.12594162036202,0.05,0.000846740050804403,40900
"Cumulative82",79557,203391.843014241,151166.839277611,254130.704466715,25615.4982776311,-123834.843014241,-174573.704466715,-71609.8392776113,25615.4982776311,-0.608848620372501,-0.858312220783069,-0.35207822603091,0.12594162036202,0.05,0.000846740050804403,40900
"Average83",1188.57142857143,2395.42103419288,1827.39316845706,2963.03175237075,287.880035803334,-1206.84960562145,-1774.46032379932,-638.821739885632,287.880035803334,-0.503815232643681,-0.740771788537464,-0.266684533018171,0.120179305305438,0.05,0.00154083204930663,40910
"Cumulative83",58240,117375.630675451,89542.265254396,145188.555866167,14106.1217543634,-59135.6306754512,-86948.5558661668,-31302.265254396,14106.1217543634,-0.503815232643681,-0.740771788537464,-0.266684533018171,0.120179305305438,0.05,0.00154083204930663,40910
"Average84",920.30612244898,1611.44042866503,963.185893223975,2235.11114792714,333.969091495912,-691.134306216048,-1314.80502547816,-42.8797707749952,333.969091495912,-0.428892246912663,-0.815919100755955,-0.0266095910293862,0.207248797755796,0.05,0.0158730158730159,40920
"Cumulative84",45095,78960.5810045863,47196.1087679748,109520.44624843,16364.4854832997,-33865.5810045863,-64425.4462484298,-2101.10876797476,16364.4854832997,-0.428892246912663,-0.815919100755955,-0.0266095910293862,0.207248797755796,0.05,0.0158730158730159,40920
"Average85",1306.30612244898,5962.62569613247,4332.08903074704,7509.67686495393,828.84051952659,-4656.31957368349,-6203.37074250495,-3025.78290829806,828.84051952659,-0.780917637795663,-1.04037567652932,-0.507458133798449,0.139005961763489,0.05,0.00138121546961326,40930
"Cumulative85",64009,292168.659110491,212272.362506605,367974.166382743,40613.1854568029,-228159.659110491,-303965.166382743,-148263.362506605,40613.1854568029,-0.780917637795663,-1.04037567652932,-0.507458133798449,0.139005961763489,0.05,0.00138121546961326,40930
"Average86",150.428571428571,395.069282064261,218.063800058561,561.844830001524,86.26050522569,-244.640710635689,-411.416258572953,-67.6352286299899,86.26050522569,-0.619234958884748,-1.04137749314064,-0.171198399117724,0.218342729090386,0.05,0.00173160173160173,40940
"Cumulative86",7371,19358.3948211488,10685.1262028695,27530.3966700747,4226.76475605881,-11987.3948211488,-20159.3966700747,-3314.1262028695,4226.76475605881,-0.619234958884748,-1.04137749314064,-0.171198399117724,0.218342729090385,0.05,0.00173160173160173,40940
"Average87",738.285714285714,4017.00988484778,2653.86580894781,5320.17747201147,678.013831330934,-3278.72417056207,-4581.89175772575,-1915.58009466209,678.013831330934,-0.816210132548954,-1.14062247519199,-0.476867159796566,0.168785701496133,0.05,0.00111111111111111,40960
"Cumulative87",36176,196833.484357541,130039.424638443,260688.696128562,33222.6777352158,-160657.484357541,-224512.696128562,-93863.4246384425,33222.6777352158,-0.816210132548954,-1.14062247519199,-0.476867159796566,0.168785701496133,0.05,0.00111111111111111,40960
"Average88",486.877551020408,1006.3153189081,776.816165621084,1223.99117561039,111.600997062428,-519.437767887688,-737.113624589984,-289.938614600676,111.600997062428,-0.516177939585879,-0.732487730972624,-0.288119050910677,0.110900624253162,0.05,0.000791139240506329,40970
"Cumulative88",23857,49309.4506264967,38063.9921154331,59975.5676049092,5468.44885605895,-25452.4506264967,-36118.5676049092,-14206.9921154331,5468.44885605895,-0.516177939585879,-0.732487730972624,-0.288119050910677,0.110900624253162,0.05,0.000791139240506329,40970
"Average89",297.551020408163,814.753694614733,524.483619299222,1094.45998842408,145.178449604131,-517.20267420657,-796.908968015915,-226.932598891059,145.178449604131,-0.634796353333673,-0.978098010826134,-0.278529082336186,0.178186917793334,0.05,0.0013986013986014,40980
"Cumulative89",14580,39922.9310361219,25699.6973456619,53628.5394327798,7113.74403060242,-25342.9310361219,-39048.5394327798,-11119.6973456619,7113.74403060242,-0.634796353333673,-0.978098010826134,-0.278529082336186,0.178186917793334,0.05,0.0013986013986014,40980
"Average90",1733.38775510204,3395.98752579496,2496.17325098043,4261.94022984058,443.71437671175,-1662.59977069292,-2528.55247473854,-762.785495878385,443.71437671175,-0.489577702528141,-0.744570601491428,-0.224613750811651,0.13065842360769,0.05,0.000796812749003984,40990
"Cumulative90",84936,166403.388763953,122312.489298041,208835.071262189,21742.0044588758,-81467.3887639532,-123899.071262189,-37376.4892980409,21742.0044588758,-0.489577702528141,-0.744570601491428,-0.224613750811651,0.13065842360769,0.05,0.000796812749003984,40990
"Average91",1208.04081632653,2970.35413554978,457.233612342861,5481.92753593473,1264.50695755496,-1762.31331922325,-4273.88671960821,750.807203983665,1264.50695755496,-0.593300744221553,-1.43884753284381,0.252766899070335,0.425709157847912,0.05,0.0845637583892618,41000
"Cumulative91",59194,145547.352641939,22404.4470048002,268614.449260802,61960.8409201932,-86353.3526419394,-209420.449260802,36789.5529951996,61960.8409201932,-0.593300744221553,-1.43884753284381,0.252766899070335,0.425709157847912,0.05,0.0845637583892618,41000
"Average92",164.142857142857,1297.97649262534,528.395515268327,2034.63406430005,374.403269068668,-1133.83363548248,-1870.49120715719,-364.25265812547,374.403269068668,-0.873539422265764,-1.44108249863129,-0.280631167201433,0.288451502161943,0.05,0.00253378378378378,41010
"Cumulative92",8043,63600.8481386415,25891.380248148,99697.0691507024,18345.7601843647,-55557.8481386415,-91654.0691507024,-17848.380248148,18345.7601843647,-0.873539422265764,-1.44108249863129,-0.280631167201433,0.288451502161943,0.05,0.00253378378378378,41010
"Average93",1099,5460.26815473712,3604.6724267025,7272.37659944602,922.979421059176,-4361.26815473712,-6173.37659944602,-2505.6724267025,922.979421059176,-0.798727833715172,-1.1305995281734,-0.458891826499158,0.169035548237395,0.05,0.000862068965517241,41020
"Cumulative93",53851,267553.139582119,176628.948908423,356346.453372855,45225.9916318996,-213702.139582119,-302495.453372855,-122777.948908423,45225.9916318996,-0.798727833715172,-1.1305995281734,-0.458891826499158,0.169035548237394,0.05,0.000862068965517241,41020
"Average94",467.489795918367,2347.46863070013,1330.07805329099,3327.78050011968,503.507351323449,-1879.97883478176,-2860.29070420131,-862.588257372625,503.507351323449,-0.800853655804151,-1.21845747661737,-0.367454647142765,0.214489490823687,0.05,0.00112612612612613,41030
"Cumulative94",22907,115025.962904306,65173.8246112586,163061.244505864,24671.860214849,-92118.9629043064,-140154.244505864,-42266.8246112586,24671.860214849,-0.800853655804151,-1.21845747661737,-0.367454647142765,0.214489490823687,0.05,0.00112612612612613,41030
